molecule_zinc_id,molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
ZINC000005891390,CHEMBL16403,Cc1c(Cl)cccc1NCc1cnc2nc(N)nc(N)c2c1C,8.28,8.28,8.28,Homo sapiens
ZINC000005891405,CHEMBL16403,COc1cc(CCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1,6.0,6.0,6.0,Homo sapiens
ZINC000005891421,CHEMBL16403,Cc1c(CN(C)c2cccc3c2CCCC3)cnc2nc(N)nc(N)c12,6.15,6.15,6.15,Homo sapiens
ZINC000005891437,CHEMBL16403,Cc1c(CNC2c3ccccc3-c3ccccc32)cnc2nc(N)nc(N)c12,5.28,5.28,5.28,Homo sapiens
ZINC000005891439,CHEMBL16403,Cc1c(CN[C@@H]2CCCc3ccccc32)cnc2nc(N)nc(N)c12,5.47,5.47,5.47,Homo sapiens
ZINC000005891443,CHEMBL16403,Cc1c(CN[C@H]2CCCc3ccccc32)cnc2nc(N)nc(N)c12,5.47,5.47,5.47,Homo sapiens
ZINC000005891456,CHEMBL16403,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,8.33,8.33,8.33,Homo sapiens
ZINC000005891463,CHEMBL16403,Cc1c(CNc2cc(Cl)ccc2Cl)cnc2nc(N)nc(N)c12,8.1,8.1,8.1,Homo sapiens
ZINC000005891467,CHEMBL16403,Cc1c(CNc2cc(C(F)(F)F)ccc2F)cnc2nc(N)nc(N)c12,8.39,8.39,8.39,Homo sapiens
ZINC000005891469,CHEMBL16403,Cc1c(CNc2cc(F)ccc2F)cnc2nc(N)nc(N)c12,7.16,7.16,7.16,Homo sapiens
ZINC000005891475,CHEMBL16403,Cc1c(CNc2cnc3ccccc3c2)cnc2nc(N)nc(N)c12,7.92,7.92,7.92,Homo sapiens
ZINC000005891479,CHEMBL16403,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1F,7.85,7.85,7.85,Homo sapiens
ZINC000005891482,CHEMBL16403,Cc1c(CNc2ccc(Cl)c3ccccc23)cnc2nc(N)nc(N)c12,8.7,8.7,8.7,Homo sapiens
ZINC000005891490,CHEMBL16403,Cc1c(CNc2ccc(OC(F)F)cc2)cnc2nc(N)nc(N)c12,7.7,7.7,7.7,Homo sapiens
ZINC000005891495,CHEMBL16403,COc1cc(-c2ccccc2)ccc1NCc1cnc2nc(N)nc(N)c2c1C,7.17,7.17,7.17,Homo sapiens
ZINC000005891498,CHEMBL16403,Cc1c(CNc2ccc3c(c2)Cc2ccccc2-3)cnc2nc(N)nc(N)c12,8.17,8.17,8.17,Homo sapiens
ZINC000005891500,CHEMBL16403,Cc1c(CNc2ccc3c4c(cccc24)-c2ccccc2-3)cnc2nc(N)nc(N)c12,8.21,8.21,8.21,Homo sapiens
ZINC000005891502,CHEMBL16403,Cc1c(CNc2ccc3ncccc3c2)cnc2nc(N)nc(N)c12,8.15,8.15,8.15,Homo sapiens
