molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_first_value,pKi_last_value,target_organism
CHEMBL25112,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,7.674347529427687,9.045757490560677,7.407823242604133,Plasmodium falciparum K1
CHEMBL281412,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,7.497572880015567,9.045757490560677,8.886056647693163,Plasmodium falciparum K1
CHEMBL22148,CCc1nc(N)nc(N)c1-c1ccccc1,7.653158230357748,8.638272163982407,7.0,Plasmodium falciparum K1
CHEMBL434771,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2,7.18351012927822,8.958607314841775,7.142667503568731,Plasmodium falciparum K1
CHEMBL22357,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl,6.235110596118604,7.899629454882437,9.036212172654444,Plasmodium falciparum K1
CHEMBL21408,Cc1nc(N)nc(N)c1-c1ccccc1,7.339134521996131,7.962573502059376,6.958607314841775,Plasmodium falciparum K1
CHEMBL416552,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,8.726998727936262,9.522878745280336,8.0,Plasmodium falciparum K1
CHEMBL21690,Nc1ncc(-c2ccccc2)c(N)n1,7.126243578296644,7.377785977033705,7.0,Plasmodium falciparum K1
CHEMBL21414,Nc1ncc(-c2cccc(Cl)c2)c(N)n1,7.458420756053419,8.200659450546418,7.1249387366083,Plasmodium falciparum K1
CHEMBL21921,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,8.141162148571414,8.920818753952375,7.376750709602099,Plasmodium falciparum K1
CHEMBL22039,Cc1nc(N)nc(N)c1-c1cccc(Cl)c1,7.81177482729472,8.721246399047171,7.080921907623926,Plasmodium falciparum K1
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,8.119186407719209,9.221848749616356,8.0,Plasmodium falciparum K1
CHEMBL22129,CCc1nc(N)nc(N)c1-c1ccc(OCc2ccc(Cl)cc2Cl)c(OC)c1,7.734003629504921,9.0,8.017728766960431,Plasmodium falciparum K1
CHEMBL279509,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,7.337242168318426,8.3767507096021,7.1432711096171175,Plasmodium falciparum K1
CHEMBL161117,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.525783735923746,8.958607314841775,8.602059991327963,Plasmodium falciparum K1
CHEMBL346932,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)c2ccccc2)n1,8.775985188627136,8.823908740944319,8.443697499232712,Plasmodium falciparum K1
CHEMBL158639,CCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.952491494405988,8.337242168318426,6.326979092871104,Plasmodium falciparum K1
CHEMBL346982,CCCOc1ccc(C2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,8.446116973356126,8.481486060122112,8.031517051446064,Plasmodium falciparum K1
CHEMBL352195,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.135014539340206,8.853871964321762,8.1249387366083,Plasmodium falciparum K1
CHEMBL161757,NC1=NC(c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.665546248849068,8.744727494896694,8.327902142064282,Plasmodium falciparum K1
