molecule_chembl_id,molecule_zinc_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
CHEMBL17636,ZINC000013532863,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1OCC,7.025,6.04,8.8,PFLAK
CHEMBL17636,ZINC000013532872,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,6.565555555555555,7.22,6.95,PFLAK
CHEMBL17636,ZINC000013532877,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,6.565555555555555,7.09,6.82,PFLAK
CHEMBL17636,ZINC000013532881,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,6.478999999999999,8.14,5.95,PFLAK
CHEMBL17636,ZINC000013532888,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,7.42,6.28,9.0,PFLAK
CHEMBL17636,ZINC000013532891,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1,6.734999999999999,8.19,6.77,PFLAK
CHEMBL17636,ZINC000013532895,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,7.234999999999999,6.22,8.7,PFLAK
CHEMBL17636,ZINC000013532899,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,7.3575,6.11,9.22,PFLAK
CHEMBL17636,ZINC000013532904,Nc1ncc(Cc2ccc(OCCCOCCCOc3ccccc3)cc2)c(N)n1,6.875,8.15,6.97,PFLAK
CHEMBL17636,ZINC000013532909,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,6.895,6.37,8.74,PFLAK
CHEMBL17636,ZINC000013532914,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,7.125,6.03,8.64,PFLAK
CHEMBL17636,ZINC000013532920,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,6.178571428571429,6.12,5.87,PFLAK
CHEMBL17636,ZINC000013532925,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,6.635714285714286,6.16,6.93,PFLAK
CHEMBL17636,ZINC000013532930,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,6.717272727272728,7.03,5.99,PFLAK
CHEMBL17636,ZINC000013532934,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,6.537999999999999,6.12,6.92,PFLAK
CHEMBL17636,ZINC000013532938,CCCOc1cc(Cc2c(N)nc(N)nc2CC)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.255,6.16,8.74,PFLAK
CHEMBL14888,ZINC000013555336,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,7.886,8.03,8.97,PFLAK
CHEMBL17662,ZINC000013559291,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1,6.87,7.07,6.92,PFLAK
CHEMBL17662,ZINC000013559292,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCO)n1,6.7125,8.04,5.96,PFLAK
CHEMBL17662,ZINC000013559293,CC(=O)OCCCc1nc(N)nc(N)c1-c1ccccc1,7.66,8.3,7.97,PFLAK
CHEMBL17662,ZINC000013559294,CC(=O)OCCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,6.9675,5.28,8.74,PFLAK
CHEMBL17662,ZINC000013559295,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,8.51,8.47,9.15,PFLAK
