zinc_id,smiles
ZINC000017040301,NC1=N[C@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000013284968,Cc1nc(N)nc(N)c1-c1ccccc1
ZINC000000024946,COc1ccc(Cc2cnc(N)nc2N)cc1OC
ZINC000013472738,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC
ZINC000013809233,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
ZINC000013809235,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
ZINC000003157274,CCCOc1ccc(Cc2cnc(N)nc2N)cc1
ZINC000005884512,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC
ZINC000034801983,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1
ZINC000016981849,CC1(C)N=C(N)N=C(N)N1c1ccccc1
ZINC000013476270,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C)cc1
ZINC000013476271,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C)cc1
ZINC000000380804,COc1ccc(Cc2cnc(N)nc2N)cc1
ZINC000013559300,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000013559301,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000013809225,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC000013809227,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC000013559302,CC(C)[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013559303,CC(C)[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013532920,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC
ZINC000000040057,Nc1ncc(-c2ccccc2)c(N)n1
ZINC000013559291,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1
ZINC000002034275,CC(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000002034277,CC(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013809241,NC1=NCN(c2ccccc2)C(N)=N1
ZINC000013809243,NC1=NCN(c2ccc(F)cc2)C(N)=N1
ZINC000013472714,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1
ZINC000013809237,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C(C)C)cc1
ZINC000013809239,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C(C)C)cc1
ZINC000005372203,Cc1cc2nc3n(c2cc1C)C(C)(C)NC(N)=N3
ZINC000003133773,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O
ZINC000013469871,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1
ZINC000005992377,N=C(NO)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1
ZINC000006118700,NNc1nc2ccccc2nc1NN
ZINC000013858385,CNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O
ZINC000004394823,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1
ZINC000004322438,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1
ZINC000004394094,N/C(=N\O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1
ZINC000000128065,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1
ZINC000002571257,NC(=S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1
ZINC000005765026,Cc1[nH]c(N)cc2nc3ccccc3c1-2
ZINC000013809214,CC(C)(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013809216,CC(C)(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013468996,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1
ZINC000017949002,N/C(S)=N/N=C/c1ccccc1
