zinc_id,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.60,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.51,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.25,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.10,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.01,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034275,DRTS_PLAFK,DRTS_PLAFK,5.81,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034275,DRTS_PLAFK,DRTS_PLAFK,7.22,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034277,DRTS_PLAFK,DRTS_PLAFK,5.81,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034277,DRTS_PLAFK,DRTS_PLAFK,7.22,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,6.90,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,6.90,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,6.87,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,5.80,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,5.61,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,8.39,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034278,DRTS_PLAFK,DRTS_PLAFK,8.39,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,6.90,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,6.90,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,6.87,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,5.80,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,5.61,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,8.39,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000002034279,DRTS_PLAFK,DRTS_PLAFK,8.39,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000002571257,DRTS_PLAFK,DRTS_PLAFK,5.64,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000002571257,DRTS_PLAFK,DRTS_PLAFK,5.28,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000002571257,DRTS_PLAFK,DRTS_PLAFK,5.17,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000002571257,DRTS_PLAFK,DRTS_PLAFK,5.05,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000002571257,DRTS_PLAFK,DRTS_PLAFK,5.03,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000003076473,DRTS_PLAFK,DRTS_PLAFK,6.77,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000003076473,DRTS_PLAFK,DRTS_PLAFK,8.11,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000003076474,DRTS_PLAFK,DRTS_PLAFK,6.77,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000003076474,DRTS_PLAFK,DRTS_PLAFK,8.11,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000003133773,DRTS_PLAFK,DRTS_PLAFK,5.00,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000003133773,DRTS_PLAFK,DRTS_PLAFK,5.77,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000003133773,DRTS_PLAFK,DRTS_PLAFK,6.39,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000003157274,DRTS_PLAFK,DRTS_PLAFK,5.96,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
