,zinc_id,smiles,first_affinity,last_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id
346,ZINC000017174553,Nc1nc(N)c2cc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,11.0,8.35,9.675,13250,7877140,CHEMBL1128249
347,ZINC000017175237,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cnc2n1,7.72,7.72,7.72,8032,6410066,CHEMBL1122445
348,ZINC000017423997,CN(Cc1ccc2nc(N)nc(N)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,8.41,8.41,8.41,9629,3339615,CHEMBL1124218
349,ZINC000018038509,CCOC(=O)C1=C(C)NC(=S)N[C@@H]1c1ccccc1,6.24,6.24,6.24,69872,None,CHEMBL3045961
350,ZINC000018068419,CCOC(=O)C1=C(C)NC(=S)N[C@H]1c1ccccc1,6.24,6.24,6.24,69872,None,CHEMBL3045961
351,ZINC000024799342,COc1ccc(OCCCCC(=O)O)cc1Cc1cnc(N)nc1N,5.3,5.1,5.199999999999999,17739,14998335,CHEMBL1149100
352,ZINC000025979402,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](CCCN)C(=O)O)cc1,9.0,8.6,8.133333333333333,13438,8691451,CHEMBL1129353
353,ZINC000026145054,CCCc1cc(Cc2cnc(N)nc2N)cc2c1O[C@H](C)[C@@H]2C,7.85,7.85,7.85,10209,2754716,CHEMBL1124568
354,ZINC000026145061,CCCc1cc(Cc2cnc(N)nc2N)cc2c1O[C@H](C)[C@H]2C,7.85,7.85,7.85,10209,2754716,CHEMBL1124568
355,ZINC000026145069,CCCc1cc(Cc2cnc(N)nc2N)cc2c1O[C@@H](C)[C@@H]2C,7.85,7.85,7.85,10209,2754716,CHEMBL1124568
356,ZINC000026145077,CCCc1cc(Cc2cnc(N)nc2N)cc2c1O[C@@H](C)[C@H]2C,7.85,7.85,7.85,10209,2754716,CHEMBL1124568
357,ZINC000026146544,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,5.0,5.0,5.0,15984,11384244,CHEMBL1134503
358,ZINC000026161652,CCc1ccc(Cc2cnc(N)nc2N)cc1CC,5.95,5.95,5.95,9190,3312605,CHEMBL1123638
359,ZINC000026189963,CN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1,8.34,8.34,8.34,9629,3339615,CHEMBL1124218
360,ZINC000026189966,CN(Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1,8.34,8.34,8.34,9629,3339615,CHEMBL1124218
361,ZINC000026258443,CC[C@@H](Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.15,7.15,7.15,10270,2296020,CHEMBL1124936
362,ZINC000026258451,CC[C@H](Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.15,7.15,7.15,10270,2296020,CHEMBL1124936
363,ZINC000026258459,CC[C@@H](Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.15,7.15,7.15,10270,2296020,CHEMBL1124936
364,ZINC000026258465,CC[C@H](Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)nc(N)c2n1,7.15,7.15,7.15,10270,2296020,CHEMBL1124936
