,zinc_id,smiles,first_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id,reference.year
94,ZINC000013532872,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,6.95,6.565555555555555,17636,14711307,CHEMBL1148379,2004
95,ZINC000013532877,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,6.82,6.565555555555555,17636,14711307,CHEMBL1148379,2004
96,ZINC000013532881,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,5.95,6.478999999999999,17636,14711307,CHEMBL1148379,2004
97,ZINC000013532888,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,9.0,7.42,17636,14711307,CHEMBL1148379,2004
98,ZINC000013532891,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1,6.77,6.734999999999999,17636,14711307,CHEMBL1148379,2004
99,ZINC000013532895,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,8.7,7.234999999999999,17636,14711307,CHEMBL1148379,2004
100,ZINC000013532899,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,9.22,7.3575,17636,14711307,CHEMBL1148379,2004
101,ZINC000013532904,Nc1ncc(Cc2ccc(OCCCOCCCOc3ccccc3)cc2)c(N)n1,6.97,6.875,17636,14711307,CHEMBL1148379,2004
102,ZINC000013532909,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,8.74,6.895,17636,14711307,CHEMBL1148379,2004
103,ZINC000013532914,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,8.64,7.125,17636,14711307,CHEMBL1148379,2004
104,ZINC000013532920,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,5.87,6.178571428571429,17636,14711307,CHEMBL1148379,2004
105,ZINC000013532925,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,6.93,6.635714285714286,17636,14711307,CHEMBL1148379,2004
106,ZINC000013532930,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,5.99,6.717272727272728,17636,14711307,CHEMBL1148379,2004
107,ZINC000013532934,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,6.92,6.537999999999999,17636,14711307,CHEMBL1148379,2004
108,ZINC000013532938,CCCOc1cc(Cc2c(N)nc(N)nc2CC)ccc1OCc1cc(OC)c(OC)c(OC)c1,8.74,7.255,17636,14711307,CHEMBL1148379,2004
109,ZINC000013555336,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,8.97,7.886,14888,9554869,CHEMBL1131602,1998
110,ZINC000013559291,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1,6.92,6.87,17662,14736247,CHEMBL1138835,2004
111,ZINC000013559292,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCO)n1,5.96,6.7125,17662,14736247,CHEMBL1138835,2004
