molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,target_organism
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,7.187086643357144,65.0,Homo sapiens
CHEMBL343127,CCCOc1cccc(Cc2cnc(N)nc2N)c1,6.886056647693163,130.0,Homo sapiens
CHEMBL162312,COc1ccc(OC)c(C#Cc2cccc3nc(N)nc(N)c23)c1,6.853871964321762,140.0,Homo sapiens
CHEMBL434097,COc1ccc(OC)c(N(C)Cc2cccc3nc(N)nc(N)c23)c1,6.6020599913279625,250.0,Homo sapiens
CHEMBL31547,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.767003889607846,171.0,Homo sapiens
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,7.886056647693163,13.0,Homo sapiens
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1,6.795880017344075,160.0,Homo sapiens
CHEMBL344592,Nc1ncc(Cc2cccc(OC3CCCCO3)c2)c(N)n1,7.031517051446065,93.0,Homo sapiens
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,6.920818753952375,120.0,Homo sapiens
CHEMBL31235,CCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,7.013228265733755,97.0,Homo sapiens
CHEMBL349149,COc1ccc(OC)c(CCc2cccc3nc(N)nc(N)c23)c1,7.3872161432802645,41.0,Homo sapiens
CHEMBL343271,CCOc1ccc(Cc2cnc(N)nc2N)cc1,6.886056647693163,130.0,Homo sapiens
CHEMBL341703,Nc1nc(N)c2c(CCc3ccccc3)cccc2n1,7.638272163982407,23.0,Homo sapiens
CHEMBL350730,COc1ccc(OC)c(NCc2cccc3nc(N)nc(N)c23)c1,6.698970004336019,200.0,Homo sapiens
CHEMBL31946,CCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.823908740944319,150.0,Homo sapiens
CHEMBL164845,Nc1nc(N)c2c(/C=C/c3ccccc3)cccc2n1,8.267606240177031,5.4,Homo sapiens
CHEMBL137448,CCOc1cccc(Cc2cnc(N)nc2N)c1,6.806875401645538,156.0,Homo sapiens
CHEMBL30734,Nc1ncc(Cc2cccc(O)c2)c(N)n1,6.1249387366083,750.0,Homo sapiens
CHEMBL162270,COc1cc(N(C)Cc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,7.309803919971486,49.0,Homo sapiens
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.481486060122112,330.0,Homo sapiens
CHEMBL138230,CCCCCCCOc1cccc(Cc2c(C)nc(N)nc2N)c1,6.431798275933005,370.0,Homo sapiens
CHEMBL135935,CCCCCCCOc1cccc(Cc2c(N)nc(N)nc2CC)c1,7.318758762624412,48.0,Homo sapiens
CHEMBL355151,Nc1nc(N)c2c(C#Cc3ccccc3)cccc2n1,7.016373712875465,96.3,Homo sapiens
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,7.481486060122112,33.0,Homo sapiens
CHEMBL18967,COc1cccc(Cc2cnc(N)nc2N)c1,6.522878745280337,300.0,Homo sapiens
CHEMBL162476,Nc1nc(N)c2c(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cccc2n1,9.267606240177031,0.54,Homo sapiens
CHEMBL165955,COc1cc(NCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,6.508638306165727,310.0,Homo sapiens
CHEMBL137305,CCCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.853871964321762,140.0,Homo sapiens
CHEMBL285209,CCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.655607726314889,221.0,Homo sapiens
CHEMBL137641,CCCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1,6.443697499232712,360.0,Homo sapiens
CHEMBL301030,C/C=C/c1cc(Cc2cnc(N)nc2N)cc(/C=C/C)c1OC,9.096910013008056,0.8,Homo sapiens
CHEMBL47919,C#CCC(Cc1cnc2cc(N)cc(N)c2n1)c1ccc(C(=O)NC(CCCNC(=O)c2ccccc2C(=O)O)C(=O)O)cc1,12.221848749616356,0.0006,Homo sapiens
CHEMBL296545,Nc1cc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2c1,12.481486060122112,0.00033,Homo sapiens
CHEMBL47689,Nc1cc(N)c2nc(CCc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2c1,12.455931955649724,0.00035,Homo sapiens
CHEMBL295859,CCC(Cc1cnc2cc(N)cc(N)c2n1)c1ccc(C(=O)NC(CCCNC(=O)c2ccccc2C(=O)O)C(=O)O)cc1,12.207608310501746,0.00062,Homo sapiens
CHEMBL297558,Nc1cc(N)c2cc(CCc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)ccc2c1,12.67778070526608,0.00021,Homo sapiens
CHEMBL170837,CC(C)n1c(C(C)(C)C)cc2c3c(N)nc(N)nc3ccc21,9.698970004336019,0.2,Homo sapiens
CHEMBL318721,CCC(CC)n1ccc2c3c(N)nc(N)nc3ccc21,8.346787486224656,4.5,Homo sapiens
CHEMBL353764,Nc1nc(N)c2c(ccc3[nH]ccc32)n1,6.0,1000.0,Homo sapiens
CHEMBL369258,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)(C)C,10.0,0.1,Homo sapiens
